"partNumber","title","price","partsCategory"
"7511.1004005-40","Гильза с поршнем ЯМЗ-7511,7601 с кольцами в сборе (инд.ГБЦ) (блок 658-41,656-41)",4330,2870
"236-1004008-Б","Гильза споршнем",0,2870
"740-1002021","Гильза цилиндра",1618,2870
"7406.1002021-01","Гильза цилиндра на КамАЗ-43118",0,2870
"740.13-1000128","Гильза цилиндра с поршнем",3695,2870
"7511.1002021-01","Гильза ЯМЗ",0,2870
"238-1004005","Гильза+поршень+уплотнительные кольца",3915,2870
"236-1004005","Гильза+поршень+уплотнительные кольца+ поршневые кольца (кострома)",3819,2870
"Д-160","Гильза, поршень d 145 Т-130 Кострома",0,2870
"236-1004006","Гильза, поршень, палец, кольца (к-т на 1 цилиндр)",3462,2870
"238Б-1004005-Б","Гильза, поршень, порш. и упл.кольца МАЗ, УРАЛ, КРАЗ н/образца, со вставкой",4210,2870
"658-1004005-10","Гильза, поршень, порш. и упл.кольца ЯМЗ 6562.6582 (общ.ГБЦ)",4681,2870
"740-1000128-АК","Гильза,поршень,кольца,палец,стопорное кольцо комплект Дальнобой Кострома",4463,2870
"740-1003010-30","Головка блока",5200,2870
"740.90-1003010","Головка блока КАМАЗ-ЕВРО-3,4 (на дв.с Common Rail) в сборе (ОАО КАМАЗ)",10600,2870
"238-1003013-Д3","Головка блока цилиндров",27041,2870
"130-1003012-Б","головка блока цилиндров",23000,2870
"238Д-1003013","Головка блока цилиндров",27500,2870
"236-1003013-Ж4","Головка блока цилиндров (корот. штуц.форс., изм.вод.каналов) без шпилек",29192,2870
"238-1003013-Ж3","Головка блока цилиндров (нового образца) (без клапанов)",27041,2870
"7511-1003013","Головка блока цилиндров (раздельная)",0,2870
"238-1003010-Д4","Головка блока цилиндров в сб. с клапанами ст.о. (снята с пр.)",18850,2870
"236-1003013-Ж","Головка блока цилиндров ЯМЗ 236",17760,2870
"238-1003013","Головка блока цилиндров ЯМЗ-238",33800,2870
"236-1003009","Головка блока ЯМЗ-236 в сборе с клапанами Н/О",0,2870
"236-1003013-Е","Головка блока ЯМЗ-236 в сборе с клапанами с/о",0,2870
"236Д-1003009","Головка блока ЯМЗ-236НЕ,БЕ,НЕ2,БЕ2,6563 в сборе с клапанами",0,2870
"238-1003009","Головка блока ЯМЗ-238 в сборе с клапанами Н/О",0,2870
"238Д-1003009","Головка блока ЯМЗ-238ДЕ2,7511.10-06 (общая) в сборе с клапанами",0,2870
"656-1003013-30","Головка цилиндров (Е4-V6)",36818,2870
"236Д-1003013-А","Головка цилиндров в сборе без клапанов (нов. образца)ЯМЗ-236НЕ,БЕ,НЕ2,БЕ2,6563 АВТОДИЗ",18734,2870
"740-1003010-99","Головка цилиндров с клапанами в сборе",0,2870
"238-1004008","Группа поршневая",0,2870
"238НД3-1000186","Двигатель",423895,2870
"ЯМЗ-238М2-11","Двигатель",0,2870
"509.1000401-01","Двигатель",0,2870
"238М2-4-1000190","Двигатель  с 2905м КрАЗ",372075,2870
"ЯМЗ-236 НЕ-2-24","Двигатель без коробки  сборе",489921,2870
"740.1000403","Двигатель КамАЗ  (для УрАЛ)",418750,2870
"740.632-1000402","Двигатель КАМАЗ-65222 COMMON RAIL 400 л.с",0,2870
"238М2-1000022-00","Двигатель с коробкой в сборе ЯМЗ-238М 10000016 (новый)",518000,2870
"238М2-1000016","Двигатель с коробкой перемены передач Основная комплектация 238М2-1000016",535000,2870
"740.1000303","Двигатель УРАЛ (210 л.с.) с КПП 141",0,2870
"740.1000303","Двигатель УРАЛ (210 л.с.) с КПП 141,сц.. и эл.об.",648000,2870
"236НЕ2-3-1000189","Двигатель ЯМЗ (УРАЛ) (без кпп и сцепления)",504850,2870
"236М2-4-1000190","Двигатель ЯМЗ (УРАЛ) (без кпп и сцепления)",462500,2870
"238М2-6-1000192","Двигатель ЯМЗ (УРАЛ) (без кпп и сцепления)",410168,2870
"236М2-4-1000020","Двигатель ЯМЗ (УРАЛ) (с кпп)",309750,2870
"236БЕ-1000016","Двигатель ЯМЗ-236 в сборес коробкой (новый)",764000,2870
"236НЕ-1000186","Двигатель ЯМЗ-236НЕ-осн. (МАЗ) без КПП и сц. (230 л.с.)",440000,2870
"236-1110512","Демпфер",475,2870
"4320-1108346","Держатель пружины",0,2870
"5230.1109355","Диск нажимной",0,2870
"236-1002404","Заглушка блока",73,2870
"238Н-1002402-Б","Заглушка блока ""плоская""",117,2870
"236-1002282-Б","Заглушка верхней крышки блока",88,2870
"313934-П","Заглушка головки блока ЯМЗ",106,2870
"313992-П","Заглушка головки блока ЯМЗ",93,2870
"238Н-1002402","Заглушка плоская (61 мм)",25,2870
"313933-П","Заглушка шатунной шейки d-30 (колпачек) (236-7511/240-13шей)",31,2870
"375-1000110","К-т гильза, поршень (на 1 цилиндр)",1746,2870
"236-1004008-Б","К-т гильза, поршень (на 1 цилиндр) ""старого образца""",3394,2870
